,Year,Engine,Seating,Price
170,2007,2700.0,7.0,6900000.0
171,2003,1800.0,5.0,3050000.0
172,2012,1000.0,5.0,1270000.0
173,2000,1500.0,5.0,1050000.0
175,2017,1500.0,5.0,2950000.0
176,2016,2800.0,6.0,3000000.0
177,2004,1000.0,5.0,1625000.0
178,2006,660.0,4.0,1425000.0
179,2018,660.0,4.0,2700000.0
181,2021,800.0,5.0,1330000.0
182,2013,1600.0,5.0,2850000.0
183,2018,1500.0,5.0,2950000.0
185,2014,1300.0,5.0,2050000.0
186,2010,1800.0,5.0,2500000.0
188,2012,1600.0,5.0,2580000.0
189,2012,1800.0,5.0,2121000.0
190,2004,2700.0,7.0,7000000.0
192,2021,1500.0,7.0,5250000.0
193,2015,660.0,5.0,1889999.9999999998
194,2005,800.0,4.0,650000.0
195,2020,1500.0,5.0,5600000.0
196,2007,1300.0,5.0,1875000.0
197,2010,1800.0,5.0,4650000.0
198,2022,1000.0,5.0,2625000.0
199,2019,1000.0,5.0,1900000.0
200,2022,660.0,4.0,2265000.0
201,2022,1500.0,5.0,4100000.0
202,2012,1000.0,5.0,2111999.9999999995
203,2021,2800.0,7.0,13392857.142857142
204,2021,1500.0,5.0,6650000.0
205,2019,1800.0,5.0,4500000.0
206,2020,2000.0,5.0,6500000.0
207,2001,3000.0,5.0,2650000.0
208,2017,1300.0,5.0,2750000.0
209,2018,1000.0,5.0,3350000.0
210,2013,1800.0,5.0,2795000.0
211,2015,1800.0,5.0,2650000.0
212,2015,796.0,4.0,900000.0
214,2011,1000.0,5.0,2150000.0
215,2017,1800.0,5.0,3970000.0000000005
216,2006,1500.0,5.0,1300000.0
217,2006,1300.0,5.0,1500000.0
218,2007,1800.0,5.0,3450000.0
219,2011,1000.0,4.0,1200000.0
223,2005,1000.0,5.0,600000.0
224,1996,3000.0,7.0,5200000.0
225,2015,1000.0,5.0,2425000.0
227,2013,1300.0,5.0,1789999.9999999998
228,2009,1300.0,5.0,1995000.0
229,2020,1198.0,5.0,4500000.0
230,2012,1800.0,5.0,2490000.0
231,2022,1000.0,5.0,2850000.0
232,2022,1000.0,5.0,2750000.0
233,2022,2000.0,5.0,6400000.0
234,2022,1200.0,5.0,6200000.0
